34.69118,-1.966135|34.70118,-1.956135
35.172356999999984,-2.922945999999999|35.17935699999998,-2.915945999999999
35.17935699999998,-2.971946|35.18635699999998,-2.964946
35.17935699999998,-2.964946|35.18635699999998,-2.9579459999999997
35.17935699999998,-2.9579459999999997|35.18635699999998,-2.9509459999999996
35.17935699999998,-2.9509459999999996|35.18635699999998,-2.9439459999999995
35.17935699999998,-2.9439459999999995|35.18635699999998,-2.9369459999999994
35.17935699999998,-2.9369459999999994|35.18635699999998,-2.9299459999999993
35.17935699999998,-2.9299459999999993|35.18635699999998,-2.922945999999999
35.18635699999998,-2.964946|35.19335699999998,-2.9579459999999997
35.18635699999998,-2.9579459999999997|35.19335699999998,-2.9509459999999996
35.18635699999998,-2.9369459999999994|35.19335699999998,-2.9299459999999993
35.18635699999998,-2.9299459999999993|35.19335699999998,-2.922945999999999
35.19335699999998,-2.9439459999999995|35.200356999999975,-2.9369459999999994
35.19335699999998,-2.9369459999999994|35.200356999999975,-2.9299459999999993
35.19335699999998,-2.9299459999999993|35.200356999999975,-2.922945999999999
35.200356999999975,-2.9439459999999995|35.20735699999997,-2.9369459999999994
35.200356999999975,-2.9369459999999994|35.20735699999997,-2.9299459999999993
35.200356999999975,-2.9299459999999993|35.20735699999997,-2.922945999999999
35.200356999999975,-2.922945999999999|35.20735699999997,-2.915945999999999
35.200356999999975,-2.915945999999999|35.20735699999997,-2.908945999999999
35.20735699999997,-2.915945999999999|35.21435699999997,-2.908945999999999
35.20735699999997,-2.908945999999999|35.21435699999997,-2.901945999999999
35.20735699999997,-2.901945999999999|35.21435699999997,-2.8949459999999987
35.21435699999997,-2.915945999999999|35.22135699999997,-2.908945999999999
35.21435699999997,-2.908945999999999|35.22135699999997,-2.901945999999999
30.424813,-9.575734|30.433813,-9.566734
30.424813,-9.566734|30.433813,-9.557734
30.424813,-9.557734|30.433813,-9.548734
30.433813,-9.575734|30.442813,-9.566734
30.433813,-9.566734|30.442813,-9.557734
30.433813,-9.557734|30.442813,-9.548734
30.433813,-9.548734|30.442813,-9.539734
30.442813,-9.566734|30.451813,-9.557734
30.442813,-9.557734|30.451813,-9.548734
30.88817,-6.915509|30.89817,-6.905509
